S.No,InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),UnitPrice,Discount,SalePrice
90,52465,41653.71611,Germany,2199,GER2,Male,11.5,189,0,189
91,52466,41653.83611,United States,2159,US15,Female,6,199,0.1,179.1
92,52467,41653.95611,United States,2210,US2,Female,7.5,189,0,189
93,52467,41653.95611,United States,2194,US13,Female,9,179,0,179
94,52467,41653.95611,United States,2169,US14,Male,10.5,139,0,139
95,52468,41654.32611,United States,2192,US3,Female,7.5,169,0,169
96,52469,41654.45611,Germany,2225,GER2,Male,9.5,179,0.1,161.1
97,52470,41654.71611,Canada,2178,CAN5,Male,9.5,139,0.1,125.1
98,52471,41654.71611,United States,2152,US15,Female,7.5,149,0.3,104.3
99,52472,41654.95611,United States,2231,US9,Female,7.5,169,0.1,152.1
100,52472,41654.95611,United States,2222,US1,Female,9,139,0.1,125.1
101,52472,41654.95611,United States,2202,US14,Female,10,129,0.3,90.3
102,52473,41655.31611,Canada,2213,CAN2,Male,8.5,169,0.5,84.5
103,52474,41655.69611,United States,2204,US6,Female,7.5,169,0,169
104,52474,41655.69611,United States,2161,US15,Male,10,139,0,139
105,52474,41655.69611,United States,2233,US1,Female,9.5,149,0.3,104.3
106,52475,41655.71611,Germany,2242,GER2,Female,7,189,0.1,170.1
107,52476,41655.71611,United States,2194,US15,Female,7.5,129,0,129
108,52477,41656.21611,Canada,2177,CAN6,Male,11,169,0,169
109,52478,41656.31611,Canada,2220,CAN6,Male,9.5,169,0,169
110,52479,41656.48611,United States,2177,US5,Female,7.5,159,0.2,127.2
111,52479,41656.48611,United States,2163,US9,Female,9.5,129,0.1,116.1
112,52480,41656.69611,United States,2232,US4,Female,7.5,169,0,169
113,52480,41656.69611,United States,2163,US14,Female,9.5,169,0,169
114,52480,41656.69611,United States,2150,US8,Male,9.5,199,0,199
115,52481,41656.71611,Canada,2154,CAN3,Male,10.5,179,0,179
116,52482,41656.94611,United States,2177,US15,Male,14,159,0.1,143.1
117,52483,41657.21611,Canada,2241,CAN5,Male,9.5,139,0.2,111.2
118,52484,41657.31611,United Kingdom,2221,UK2,Female,6.5,159,0.2,127.2
119,52485,41657.48611,United States,2204,US6,Female,7.5,169,0,169
120,52485,41657.48611,United States,2233,US1,Female,9.5,149,0.3,104.3
121,52486,41657.69611,United States,2210,US2,Female,7.5,189,0,189
122,52486,41657.69611,United States,2191,US9,Male,10.5,199,0,199
123,52486,41657.69611,United States,2161,US15,Male,10,139,0,139
124,52487,41657.76611,United States,2154,US15,Female,8,139,0.3,97.3
125,52488,41657.94611,Canada,2211,CAN7,Female,8.5,149,0,149
126,52489,41657.97611,Germany,2151,GER2,Male,6,199,0,199
127,52490,41658.08611,United States,2235,US15,Female,9.5,139,0,139
128,52491,41658.08611,Germany,2214,GER3,Male,10.5,139,0,139
129,52492,41658.21611,Germany,2209,GER3,Female,7.5,169,0.2,135.2
130,52493,41658.48611,United States,2232,US4,Female,7.5,169,0,169
131,52493,41658.48611,United States,2150,US8,Male,9.5,199,0,199
132,52494,41658.60611,United Kingdom,2202,UK4,Male,9,199,0,199
133,52495,41658.76611,Germany,2185,GER1,Male,8,179,0,179
134,52496,41658.90611,Canada,2156,CAN6,Male,9,189,0,189
135,52496,41658.90611,Canada,2189,CAN7,Male,11,129,0.3,90.3
136,52497,41658.94611,Canada,2236,CAN7,Female,8.5,129,0,129
137,52498,41658.97611,Germany,2189,GER2,Female,7.5,139,0.5,69.5
138,52499,41659.08611,United States,2180,US15,Female,8,149,0,149
139,52499,41659.08611,United States,2204,US15,Female,9.5,169,0.1,152.1
140,52500,41659.60611,United Kingdom,2154,UK2,Male,9.5,139,0,139
141,52501,41659.76611,Germany,2192,GER1,Male,11,199,0,199
142,52502,41659.76611,United States,2230,US15,Female,8,129,0,129
143,52503,41659.90611,Canada,2185,CAN7,Male,7.5,169,0,169
144,52503,41659.90611,Canada,2156,CAN6,Male,9,189,0,189
145,52504,41659.97611,Germany,2180,GER3,Female,7.5,139,0,139
146,52505,41660.08611,United States,2154,US15,Female,8,139,0.3,97.3
147,52505,41660.08611,United States,2214,US15,Female,9.5,149,0.5,74.5
148,52506,41660.39611,Germany,2238,GER1,Male,11.5,129,0.1,116.1
149,52507,41660.50611,Germany,2151,GER1,Male,9.5,149,0.2,119.2
150,52508,41660.60611,United Kingdom,2222,UK4,Female,9,159,0,159
151,52509,41660.76611,United States,2177,US5,Female,7.5,159,0.2,127.2
152,52510,41660.90611,Canada,2178,CAN5,Male,9.5,139,0.1,125.1
153,52510,41660.90611,Canada,2185,CAN7,Male,7.5,169,0,169
154,52511,41661.39611,Germany,2199,GER2,Male,11.5,189,0,189
155,52512,41661.42611,Germany,2200,GER2,Female,7,129,0,129
156,52513,41661.50611,United States,2183,US4,Female,8,149,0,149
157,52514,41661.67611,United States,2175,US15,Male,9,179,0.5,89.5
158,52515,41661.76611,United States,2204,US6,Female,7.5,169,0,169
159,52516,41662.39611,United States,2152,US15,Female,7.5,149,0.3,104.3
160,52517,41662.42611,Canada,2189,CAN7,Male,11,129,0.3,90.3
161,52518,41662.50611,United States,2163,US12,Female,8,149,0,149
162,52519,41662.55611,United States,2172,US13,Male,10.5,129,0.2,103.2
163,52520,41662.55611,Germany,2191,GER2,Male,9.5,199,0.3,139.3
164,52521,41662.67611,United States,2213,US6,Male,11.5,179,0.3,125.3
165,52522,41662.91611,United States,2173,US7,Female,9.5,199,0,199
166,52522,41662.91611,United States,2190,US13,Female,9.5,169,0.3,118.3
167,52523,41663.04611,Germany,2233,GER3,Male,9.5,179,0,179
168,52524,41663.42611,Canada,2156,CAN6,Male,9,189,0,189
169,52525,41663.46611,United States,2158,US13,Male,10.5,159,0.2,127.2
170,52526,41663.55611,United States,2219,US13,Male,10.5,139,0,139
171,52527,41663.55611,Canada,2227,CAN1,Female,8,179,0.3,125.3
172,52528,41663.67611,United States,2211,US6,Male,9.5,189,0,189
173,52529,41663.68611,United States,2164,US5,Female,8,149,0,149
174,52530,41663.91611,United States,2175,US15,Male,9,179,0.5,89.5
175,52530,41663.91611,United States,2173,US7,Female,9.5,199,0,199
176,52531,41664.04611,United Kingdom,2169,UK4,Female,7.5,189,0.2,151.2
177,52532,41664.25611,Canada,2217,CAN5,Male,7,199,0,199
178,52533,41664.26611,Canada,2151,CAN5,Female,9,129,0.5,64.5
179,52534,41664.46611,United States,2235,US13,Male,8.5,169,0.3,118.3
180,52535,41664.55611,Germany,2169,GER1,Male,9.5,129,0,129
181,52535,41664.55611,Germany,2197,GER1,Female,8.5,179,0.2,143.2
182,52536,41664.68611,Germany,2151,GER1,Male,9.5,149,0.2,119.2
183,52537,41664.88611,United States,2203,US8,Female,8,179,0.5,89.5
184,52538,41664.91611,United States,2213,US6,Male,11.5,179,0.3,125.3
185,52538,41664.91611,United States,2175,US15,Male,9,179,0.5,89.5
186,52539,41665.04611,United Kingdom,2227,UK1,Female,7.5,129,0.5,64.5
187,52540,41665.25611,Germany,2200,GER2,Female,7,129,0,129
188,52541,41665.26611,Canada,2154,CAN6,Female,9,129,0,129
189,52542,41665.46611,United States,2147,US15,Female,8.5,189,0,189
190,52543,41665.68611,United States,2183,US4,Female,8,149,0,149
191,52544,41665.80611,United Kingdom,2158,UK4,Female,6,189,0,189
192,52545,41665.88611,United States,2226,US8,Female,8,199,0.3,139.3
193,52546,41665.91611,Germany,2227,GER1,Female,9,149,0.1,134.1
194,52547,41666.25611,Canada,2189,CAN7,Male,11,129,0.3,90.3
195,52548,41666.26611,United Kingdom,2224,UK3,Male,8.5,129,0.5,64.5
196,52549,41666.80611,Canada,2198,CAN5,Male,9,169,0.3,118.3
197,52550,41666.86611,Germany,2201,GER1,Male,10,149,0,149
198,52551,41666.88611,United States,2164,US5,Female,8,149,0,149
199,52552,41666.91611,Germany,2189,GER3,Female,9,149,0.3,104.3
200,52553,41667.22611,Germany,2219,GER3,Male,10.5,179,0.3,125.3
201,52554,41667.80611,United Kingdom,2224,UK3,Female,6,129,0,129
202,52555,41667.86611,Germany,2233,GER3,Male,9.5,179,0,179
203,52556,41667.91611,Germany,2210,GER3,Female,9,169,0.5,84.5
204,52557,41668.16611,United States,2231,US5,Male,10,159,0.1,143.1
205,52558,41668.22611,Canada,2220,CAN5,Female,8,169,0,169
206,52559,41668.86611,United Kingdom,2169,UK4,Female,7.5,189,0.2,151.2
207,52560,41669.07611,United States,2228,US15,Male,9.5,169,0,169
208,52560,41669.07611,United States,2165,US3,Female,8,189,0,189
209,52561,41669.16611,United States,2234,US12,Female,9.5,159,0,159
210,52562,41669.22611,Germany,2191,GER2,Male,9.5,199,0.3,139.3
211,52563,41669.67611,United States,2190,US15,Male,8.5,189,0.5,94.5
212,52564,41670.07611,United States,2195,US15,Male,11.5,199,0.2,159.2
213,52564,41670.07611,United States,2228,US15,Male,9.5,169,0,169
214,52565,41670.16611,United States,2166,US12,Male,9,139,0,139
215,52566,41670.57611,Germany,2165,GER1,Female,10.5,179,0.2,143.2
216,52567,41670.59611,United States,2180,US15,Female,8,149,0,149
217,52567,41670.59611,United States,2208,US15,Female,8,159,0,159
218,52567,41670.59611,United States,2237,US10,Female,8,129,0.1,116.1
219,52568,41670.67611,United States,2177,US15,Male,14,159,0.1,143.1
220,52569,41670.86611,Canada,2147,CAN3,Female,8,169,0.1,152.1
221,52570,41671.07611,United States,2193,US15,Male,10.5,199,0,199
222,52570,41671.07611,United States,2195,US15,Male,11.5,199,0.2,159.2
223,52571,41671.57611,Germany,2212,GER2,Female,10.5,199,0,199
224,52572,41671.59611,United States,2211,US15,Female,8,169,0,169
225,52572,41671.59611,United States,2165,US3,Female,8,189,0,189
226,52573,41671.59611,Germany,2214,GER3,Male,10.5,139,0,139
227,52574,41671.67611,Canada,2211,CAN7,Female,8.5,149,0,149
228,52575,41671.85611,Canada,2182,CAN2,Female,9,179,0,179
229,52576,41671.86611,Canada,2214,CAN6,Female,8,189,0.1,170.1
230,52577,41672.03611,United Kingdom,2222,UK4,Male,10.5,199,0.1,179.1
231,52578,41672.03611,United States,2201,US15,Female,7.5,189,0,189
232,52579,41672.57611,Germany,2181,GER2,Female,10.5,159,0,159
233,52580,41672.59611,United States,2180,US15,Female,8,149,0,149
234,52580,41672.59611,United States,2180,US15,Female,8,149,0,149
235,52580,41672.59611,United States,2228,US15,Male,9.5,169,0,169
236,52581,41672.67611,Germany,2147,GER1,Female,9,129,0,129
237,52582,41672.85611,United Kingdom,2219,UK3,Male,9.5,189,0.1,170.1
238,52583,41672.86611,Germany,2219,GER3,Male,10.5,179,0.3,125.3
239,52584,41673.03611,United Kingdom,2211,UK5,Male,11.5,129,0,129
240,52585,41673.03611,Germany,2212,GER3,Male,10,159,0,159
241,52586,41673.12611,United States,2186,US12,Male,9.5,169,0,169
242,52587,41673.14611,United Kingdom,2225,UK3,Male,8.5,149,0.5,74.5
243,52588,41673.67611,Canada,2182,CAN2,Female,9,179,0,179
244,52589,41673.73611,Canada,2195,CAN5,Male,10.5,179,0,179
245,52589,41673.73611,Canada,2192,CAN3,Male,9,159,0,159
246,52590,41673.85611,United Kingdom,2208,UK2,Male,10,179,0,179
247,52591,41674.03611,United States,2186,US15,Female,7.5,179,0,179
248,52591,41674.03611,United States,2237,US15,Female,9,139,0.3,97.3
249,52592,41674.12611,United States,2217,US12,Female,8.5,189,0.3,132.3
250,52593,41674.14611,United States,2196,US15,Female,9,169,0,169
251,52594,41674.50611,United States,2222,US12,Male,10,139,0.1,125.1
252,52595,41674.50611,Germany,2198,GER1,Male,10.5,189,0,189
253,52596,41674.67611,United Kingdom,2219,UK3,Male,9.5,189,0.1,170.1
254,52597,41674.73611,Canada,2151,CAN6,Male,10,159,0,159
255,52597,41674.73611,Canada,2195,CAN5,Male,10.5,179,0,179
256,52598,41675.10611,United States,2158,US14,Male,9.5,179,0.2,143.2
257,52599,41675.12611,United States,2155,US2,Female,8.5,189,0,189
258,52600,41675.14611,United States,2183,US15,Female,9,139,0.5,69.5
259,52601,41675.50611,United States,2174,US12,Male,6,139,0.1,125.1
260,52602,41675.50611,United Kingdom,2184,UK2,Female,8,179,0,179
261,52603,41675.73611,Canada,2217,CAN5,Male,7,199,0,199
262,52603,41675.73611,Canada,2151,CAN6,Male,10,159,0,159
263,52604,41676.05611,United States,2152,US15,Female,8,139,0,139
264,52605,41676.10611,United States,2150,US9,Male,9.5,189,0,189
265,52606,41676.50611,United Kingdom,2156,UK5,Female,8,169,0.1,152.1
266,52606,41676.50611,United Kingdom,2167,UK2,Female,8.5,149,0,149
267,52607,41676.87611,Germany,2150,GER3,Female,7,179,0.3,125.3
268,52608,41677.05611,United States,2199,US3,Female,8,169,0.1,152.1
269,52609,41677.10611,United States,2231,US5,Male,10,159,0.1,143.1
270,52610,41677.56611,United States,2217,US3,Female,9.5,139,0,139
271,52611,41677.87611,Canada,2192,CAN3,Male,9,159,0,159
272,52612,41678.05611,United States,2231,US15,Male,11,189,0,189
273,52613,41678.22611,United Kingdom,2201,UK5,Male,9,199,0,199
274,52614,41678.56611,United States,2158,US14,Male,9.5,179,0.2,143.2
275,52615,41678.87611,Canada,2195,CAN5,Male,10.5,179,0,179
276,52616,41679.01611,United States,2224,US3,Female,9.5,169,0,169
277,52617,41679.17611,Canada,2207,CAN2,Male,10.5,159,0,159
278,52618,41679.22611,United Kingdom,2221,UK5,Male,10.5,139,0,139
279,52619,41679.56611,United States,2150,US9,Male,9.5,189,0,189
280,52620,41679.68611,Germany,2152,GER2,Male,9,149,0,149
281,52621,41679.81611,United States,2229,US14,Male,9,129,0,129
282,52622,41679.81611,Germany,2210,GER1,Female,9.5,129,0,129
283,52623,41680.01611,United States,2217,US3,Female,9.5,139,0,139
284,52624,41680.17611,Germany,2150,GER3,Female,7,179,0.3,125.3
285,52625,41680.22611,United Kingdom,2172,UK3,Male,8.5,179,0,179
286,52626,41680.67611,United States,2210,US14,Male,9.5,159,0,159
287,52627,41680.68611,United States,2208,US15,Female,8,159,0,159
288,52628,41680.81611,Germany,2157,GER2,Female,9.5,169,0.1,152.1
289,52629,41680.81611,United States,2225,US15,Male,10,199,0.3,139.3
290,52630,41681.01611,United States,2158,US14,Male,9.5,179,0.2,143.2
291,52631,41681.17611,Canada,2192,CAN3,Male,9,159,0,159
292,52632,41681.21611,Germany,2241,GER1,Male,9.5,129,0.2,103.2
293,52633,41681.67611,United States,2232,US12,Female,10,159,0.5,79.5
294,52634,41681.68611,United States,2211,US15,Female,8,169,0,169
295,52635,41681.81611,Germany,2239,GER1,Female,9.5,159,0.5,79.5
296,52635,41681.81611,Germany,2210,GER1,Female,9.5,129,0,129
297,52636,41681.97611,United Kingdom,2232,UK2,Male,10.5,199,0,199
298,52637,41681.97611,United States,2178,US15,Female,8.5,169,0,169
299,52638,41682.21611,Germany,2151,GER2,Male,6,199,0,199
300,52639,41682.30611,Germany,2225,GER1,Male,8.5,139,0,139
301,52640,41682.47611,United States,2161,US9,Female,8,189,0,189
302,52641,41682.67611,United States,2169,US3,Female,10,169,0.3,118.3
303,52642,41682.97611,United Kingdom,2225,UK3,Male,8.5,149,0.5,74.5
304,52643,41682.97611,United States,2229,US13,Male,9,149,0,149
305,52644,41683.21611,Germany,2189,GER2,Female,7.5,139,0.5,69.5
306,52645,41683.30611,Canada,2204,CAN5,Female,8,129,0,129
307,52646,41683.31611,Germany,2177,GER2,Female,9,149,0,149
308,52647,41683.47611,United States,2147,US15,Male,11,139,0.5,69.5
309,52648,41683.97611,United States,2241,US15,Female,8.5,139,0.1,125.1
310,52648,41683.97611,United States,2196,US15,Female,9,169,0,169
311,52649,41683.98611,United States,2155,US14,Male,9,129,0.2,103.2
312,52650,41684.30611,Germany,2176,GER2,Male,9.5,149,0,149
313,52651,41684.31611,United Kingdom,2201,UK5,Male,9,199,0,199
314,52652,41684.47611,United States,2202,US15,Male,10.5,159,0,159
315,52653,41684.52611,United Kingdom,2180,UK2,Male,10.5,159,0,159
316,52654,41684.52611,Canada,2237,CAN6,Male,10,139,0.1,125.1
317,52655,41684.98611,Canada,2227,CAN7,Female,9,129,0,129
318,52656,41685.00611,United States,2189,US4,Female,10.5,149,0,149
319,52657,41685.31611,United Kingdom,2221,UK5,Male,10.5,139,0,139
320,52658,41685.52611,Germany,2177,GER2,Female,9,149,0,149
321,52659,41685.52611,United Kingdom,2170,UK4,Female,4.5,129,0.2,103.2
322,52660,41685.98611,Canada,2199,CAN1,Female,9,129,0.3,90.3
323,52661,41685.98611,United States,2181,US8,Female,8,139,0,139
324,52662,41685.98611,Germany,2206,GER2,Male,10.5,199,0,199
325,52663,41686.00611,United States,2214,US3,Male,9.5,129,0.3,90.3
326,52664,41686.22611,United States,2228,US2,Female,9.5,179,0.3,125.3
327,52665,41686.22611,Canada,2165,CAN5,Male,11,159,0,159
328,52666,41686.52611,United Kingdom,2215,UK2,Female,4.5,159,0,159
329,52666,41686.52611,United Kingdom,2201,UK5,Male,9,199,0,199
330,52667,41686.74611,United States,2239,US15,Female,8,189,0,189
331,52668,41686.93611,Canada,2169,CAN6,Male,9.5,169,0.3,118.3
332,52669,41686.98611,United States,2161,US9,Female,8,189,0,189
333,52670,41686.98611,Germany,2152,GER2,Male,9,149,0,149
334,52671,41687.00611,United States,2191,US15,Female,10.5,129,0.3,90.3
335,52672,41687.22611,United States,2206,US2,Female,9.5,139,0,139
336,52673,41687.22611,Canada,2211,CAN3,Male,7.5,139,0.1,125.1
337,52674,41687.28611,United States,2175,US9,Male,7,129,0,129
338,52674,41687.28611,United States,2160,US12,Female,9.5,159,0.5,79.5
339,52674,41687.28611,United States,2177,US15,Male,9.5,189,0,189
340,52675,41687.74611,United States,2204,US15,Female,8,149,0.3,104.3
341,52676,41687.87611,Canada,2152,CAN6,Female,8,129,0.5,64.5
342,52677,41687.93611,Germany,2213,GER2,Female,7,179,0.2,143.2
343,52678,41687.98611,United States,2208,US15,Female,8,159,0,159
344,52678,41687.98611,United States,2147,US15,Male,11,139,0.5,69.5
345,52679,41688.10611,United States,2148,US15,Male,10.5,169,0,169
346,52680,41688.22611,United States,2232,US9,Female,5.5,179,0,179
347,52680,41688.22611,United States,2213,US11,Female,9.5,169,0.1,152.1
348,52681,41688.28611,United States,2230,US14,Female,9,179,0,179
349,52681,41688.28611,United States,2192,US9,Male,9.5,129,0.1,116.1
350,52681,41688.28611,United States,2160,US12,Female,9.5,159,0.5,79.5
351,52682,41688.74611,United States,2147,US15,Female,8,179,0,179
352,52683,41688.87611,Germany,2208,GER2,Male,11.5,159,0.5,79.5
353,52684,41688.93611,Germany,2156,GER2,Female,7,169,0,169
354,52685,41688.96611,United States,2221,US7,Male,10,179,0.3,125.3
355,52686,41689.10611,Canada,2152,CAN1,Male,9.5,159,0.3,111.3
356,52686,41689.10611,Canada,2209,CAN1,Female,8,139,0.3,97.3
357,52687,41689.10611,United States,2161,US15,Male,11.5,169,0,169
358,52688,41689.28611,United States,2194,US13,Female,9,179,0,179
359,52688,41689.28611,United States,2220,US1,Male,11.5,199,0,199
360,52688,41689.28611,United States,2192,US9,Male,9.5,129,0.1,116.1
361,52689,41689.53611,Canada,2215,CAN6,Male,10,189,0.5,94.5
362,52690,41689.87611,Germany,2225,GER1,Male,8.5,139,0,139
363,52691,41689.96611,United States,2183,US11,Male,9.5,149,0,149
364,52692,41690.10611,Canada,2169,CAN6,Male,9.5,169,0.3,118.3
365,52692,41690.10611,Canada,2152,CAN6,Female,8,129,0.5,64.5
366,52693,41690.10611,United States,2176,US15,Male,6,159,0,159
367,52694,41690.31611,Germany,2182,GER2,Female,9,179,0,179
368,52695,41690.53611,Canada,2212,CAN3,Male,9,149,0,149
369,52696,41690.96611,United States,2177,US15,Male,9.5,189,0,189
370,52697,41691.10611,Germany,2213,GER2,Female,7,179,0.2,143.2
371,52697,41691.10611,Germany,2208,GER2,Male,11.5,159,0.5,79.5
372,52698,41691.19611,United States,2218,US15,Male,9.5,189,0,189
373,52699,41691.31611,United Kingdom,2170,UK5,Male,7.5,149,0.1,134.1
374,52700,41691.35611,United Kingdom,2231,UK5,Male,10.5,169,0,169
375,52701,41691.53611,Canada,2207,CAN2,Male,10.5,159,0,159
376,52702,41691.74611,Germany,2235,GER1,Female,8.5,199,0,199
377,52703,41692.19611,United States,2148,US15,Male,10.5,169,0,169
378,52704,41692.22611,United Kingdom,2189,UK5,Male,10.5,179,0.3,125.3
379,52704,41692.22611,United Kingdom,2155,UK5,Female,10,129,0,129
380,52705,41692.31611,United Kingdom,2180,UK2,Male,10.5,159,0,159
381,52706,41692.35611,Germany,2182,GER2,Female,9,179,0,179
382,52707,41692.74611,Germany,2197,GER3,Female,8.5,189,0,189
383,52708,41693.19611,United States,2161,US15,Male,11.5,169,0,169
384,52709,41693.22611,Canada,2217,CAN6,Male,10.5,179,0.3,125.3
385,52710,41693.22611,United States,2186,US11,Male,10.5,159,0,159
386,52711,41693.22611,United Kingdom,2220,UK4,Male,8.5,189,0.2,151.2
387,52712,41693.35611,United Kingdom,2170,UK5,Male,7.5,149,0.1,134.1
388,52713,41693.74611,Germany,2217,GER2,Female,8.5,139,0.3,97.3
389,52714,41693.96611,Germany,2172,GER2,Male,9.5,189,0.3,132.3
390,52715,41694.22611,Canada,2215,CAN6,Male,10,189,0.5,94.5
391,52716,41694.22611,United Kingdom,2231,UK5,Male,10.5,169,0,169
392,52716,41694.22611,United Kingdom,2213,UK3,Female,10,149,0,149
